SRCE_KEY,LVL1_KEY,LVL2_KEY,LVL3_KEY,ACCT_ID,ORG_ID,PROJ_ID,FY_CD,PD_NO,SUB_PD_NO,S_JNL_CD,POST_SEQ_NO,AMT,HRS,MODIFIED_BY,TIME_STAMP,ROWVERSION,COMPANY_ID
30,217,781,0,0800-000,1.01.01,000800.00A,2016,1,1,LD,1,6250,80,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,324,1120,0,0800-000,1.01.01,000800.00E,2016,1,1,LD,1,22250,168,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,257,926,0,0800-000,1.01.01,000800.00F,2016,1,1,LD,1,1890.91,72,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,279,1011,0,0800-000,1.01.01,000800.00M,2016,1,1,LD,1,10472.4,229.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,257,925,0,0800-000,1.01.01,000800.00R,2016,1,1,LD,1,65.66,2.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,258,927,0,0800-000,1.01.01,000850.001.001,2016,1,1,LD,1,8132.56,169,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,254,919,0,0800-000,1.01.01,000850.001.003,2016,1,1,LD,1,2943.8,62,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,298,1061,0,0800-000,1.01.01,000850.001.006,2016,1,1,LD,1,4560.44,83,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,323,1118,0,0800-000,1.01.01,000850.001.007,2016,1,1,LD,1,2812.5,72,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,273,982,0,1000-000,1.01.01,010102.002.008.002,2016,1,1,LD,1,310.95,10,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,273,984,0,1000-000,1.01.01,010301.002.001,2016,1,1,LD,1,621.89,20,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,273,985,0,1000-000,1.01.01,010301.002.002,2016,1,1,LD,1,1943.4,62.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,262,946,0,1000-000,1.01.01,010802.000.005,2016,1,1,LD,1,2184.97,43,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,255,921,0,1000-000,1.01.01,020103.001.001,2016,1,1,LD,1,5062.5,72,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,268,964,0,1000-000,1.01.01,020107.002.001,2016,1,1,LD,1,21956.45,415,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,246,897,0,1000-100,1.01.01,010102.002.001.001,2016,1,1,LD,1,8746.7,171,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,247,898,0,1000-100,1.01.01,010102.002.003.001,2016,1,1,LD,1,3850,64,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,279,1014,0,1000-100,1.01.01,010102.002.008.001,2016,1,1,LD,1,6212.86,139.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,270,970,0,1000-100,1.01.01,010102.002.008.002,2016,1,1,LD,1,114.58,2,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,272,980,0,1000-100,1.01.01,010102.002.008.003,2016,1,1,LD,1,5850.99,146,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,312,1099,0,1000-100,1.01.01,010105.003.001.001,2016,1,1,LD,1,27937.13,666.75,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,263,947,0,1000-100,1.01.01,010105.003.001.002,2016,1,1,LD,1,71.76,1,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,318,1110,0,1000-100,1.01.01,010105.003.002.000.001,2016,1,1,LD,1,4157.36,78,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,260,936,0,1000-100,1.01.01,010105.003.002.009.001,2016,1,1,LD,1,1527.01,36.75,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,302,1079,0,1000-100,1.01.01,010105.003.002.009.002,2016,1,1,LD,1,7393.97,172,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,279,1015,0,1000-100,1.01.01,010106.001.006,2016,1,1,LD,1,7106.23,123.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,299,1063,0,1000-100,1.01.01,010106.001.008.001,2016,1,1,LD,1,1459.67,39.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,314,1103,0,1000-100,1.01.01,010106.001.008.002,2016,1,1,LD,1,38359.83,864,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,236,868,0,1000-100,1.01.01,010106.001.008.004,2016,1,1,LD,1,217.38,6,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,299,1068,0,1000-100,1.01.01,010106.001.008.005,2016,1,1,LD,1,3969.06,128,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,299,1062,0,1000-100,1.01.01,010106.001.011.001,2016,1,1,LD,1,2893.02,42.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,227,816,0,1000-100,1.01.01,010106.001.011.002.002,2016,1,1,LD,1,164.29,5,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,318,1111,0,1000-100,1.01.01,010106.001.011.002.003,2016,1,1,LD,1,1231.87,31,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,299,1071,0,1000-100,1.01.01,010106.001.011.002.004,2016,1,1,LD,1,3779.4,114,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,243,888,0,1000-100,1.01.01,010106.001.011.003.001,2016,1,1,LD,1,63.86,1,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,299,1067,0,1000-100,1.01.01,010106.001.011.003.002,2016,1,1,LD,1,1225.06,31,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,236,863,0,1000-100,1.01.01,010106.001.011.003.005,2016,1,1,LD,1,40.63,1,49301.ISMAIL.MARMAR,2016-04-06,0,1
30,299,1064,0,1000-100,1.01.01,010106.001.011.005,2016,1,1,LD,1,591.68,14.5,49301.ISMAIL.MARMAR,2016-04-06,0,1
0,0,0,85,0210-018,1.01,,2016,0,0,BEG,0,-4099.53,0,JLAPINGTON,2016-03-23,0,1
0,0,0,86,0210-022,1.01,,2016,0,0,BEG,0,-421763.78,0,JLAPINGTON,2016-03-23,0,1
0,0,0,87,0210-024,1.01,,2016,0,0,BEG,0,-16718.53,0,49301.ISMAIL.MARMAR,2016-04-04,1,1
0,0,0,88,0210-036,1.01,,2016,0,0,BEG,0,-76660.38,0,49301.ISMAIL.MARMAR,2016-04-04,1,1
0,0,0,89,0210-040,1.01,,2016,0,0,BEG,0,-465.3,0,JLAPINGTON,2016-03-23,0,1
0,0,0,90,0210-042,1.01,,2016,0,0,BEG,0,327.6,0,49301.ISMAIL.MARMAR,2016-04-04,1,1
0,0,0,92,0265-000,1.01,,2016,0,0,BEG,0,-15491.58,0,JLAPINGTON,2016-03-23,0,1
0,0,0,93,0265-0CO,1.01,,2016,0,0,BEG,0,-433.5,0,JLAPINGTON,2016-03-23,0,1
0,0,0,94,0265-0VA,1.01,,2016,0,0,BEG,0,-167.94,0,JLAPINGTON,2016-03-23,0,1
0,0,0,95,0295-000,1.01,,2016,0,0,BEG,0,-452212.11,0,JLAPINGTON,2016-03-23,0,1
0,0,0,96,0320-000,1.01,,2016,0,0,BEG,0,-1000,0,JLAPINGTON,2016-03-23,0,1
0,0,0,97,0390-000,1.01,,2016,0,0,BEG,0,-3309575.27,0,49301.ISMAIL.MARMAR,2016-04-04,2,1
0,0,0,99,0110-000,1.01,010102.001,2016,0,0,BEG,0,220822.31,0,JLAPINGTON,2016-03-23,0,1
0,0,0,100,0110-000,1.01,010104.001.001,2016,0,0,BEG,0,23593.88,0,JLAPINGTON,2016-03-23,0,1
0,0,0,101,0110-000,1.01,010105.003.001,2016,0,0,BEG,0,220868,0,JLAPINGTON,2016-03-23,0,1
0,0,0,102,0110-000,1.01,010105.003.002.011,2016,0,0,BEG,0,15816.88,0,JLAPINGTON,2016-03-23,0,1
0,0,0,103,0110-000,1.01,010105.003.002.012,2016,0,0,BEG,0,430251.32,0,JLAPINGTON,2016-03-23,0,1
0,0,0,104,0110-000,1.01,010105.003.002.013,2016,0,0,BEG,0,14000.74,0,JLAPINGTON,2016-03-23,0,1
0,0,0,105,0110-000,1.01,010105.003.002.014,2016,0,0,BEG,0,22951.68,0,JLAPINGTON,2016-03-23,0,1
0,0,0,106,0110-000,1.01,010106.001.006,2016,0,0,BEG,0,36718.74,0,JLAPINGTON,2016-03-23,0,1
0,0,0,107,0110-000,1.01,010106.001.008,2016,0,0,BEG,0,388277.48,0,49301.ISMAIL.MARMAR,2016-04-04,1,1
0,0,0,108,0110-000,1.01,010106.001.011,2016,0,0,BEG,0,238060.84,0,49301.ISMAIL.MARMAR,2016-04-04,1,1
0,0,0,109,0110-000,1.01,010108.000,2016,0,0,BEG,0,230727.54,0,JLAPINGTON,2016-03-23,0,1
0,0,0,110,0110-000,1.01,010301.001,2016,0,0,BEG,0,91498.6,0,JLAPINGTON,2016-03-23,0,1
0,0,0,111,0110-000,1.01,010602.000.001,2016,0,0,BEG,0,157428.94,0,JLAPINGTON,2016-03-23,0,1
0,0,0,112,0110-000,1.01,010802.000,2016,0,0,BEG,0,462846.86,0,JLAPINGTON,2016-03-23,0,1
0,0,0,113,0110-000,1.01,011001.000.001,2016,0,0,BEG,0,2250,0,JLAPINGTON,2016-03-23,1,1
0,0,0,114,0110-000,1.01,020101.001,2016,0,0,BEG,0,187789.71,0,JLAPINGTON,2016-03-23,0,1
0,0,0,115,0110-000,1.01,020103.001.001,2016,0,0,BEG,0,151327,0,JLAPINGTON,2016-03-23,0,1
0,0,0,116,0110-000,1.01,020107.002.001,2016,0,0,BEG,0,304356.52,0,JLAPINGTON,2016-03-23,0,1
0,0,0,117,0110-000,1.01,020109.000.001,2016,0,0,BEG,0,4624,0,JLAPINGTON,2016-03-23,0,1
0,0,0,118,0110-000,1.01,020201,2016,0,0,BEG,0,5040,0,JLAPINGTON,2016-03-23,0,1
0,0,0,119,0110-000,1.01,020401.000.001,2016,0,0,BEG,0,77636.86,0,JLAPINGTON,2016-03-23,0,1
0,0,0,120,0110-000,1.01,020601.000.001,2016,0,0,BEG,0,55360,0,JLAPINGTON,2016-03-23,0,1
0,0,0,121,0110-000,1.01,020701.000.001,2016,0,0,BEG,0,20160,0,JLAPINGTON,2016-03-23,0,1
0,0,0,122,0110-000,1.01,020801.000.001,2016,0,0,BEG,0,21210,0,JLAPINGTON,2016-03-23,0,1
0,0,0,123,0110-000,1.01,020804.000.001,2016,0,0,BEG,0,25928.71,0,JLAPINGTON,2016-03-23,0,1
0,0,0,124,0110-000,1.01,011101.001.001,2016,0,0,BEG,0,190,0,JLAPINGTON,2016-03-23,1,1
