FS_CD,FS_LN_KEY,ACCT_ID,MODIFIED_BY,TIME_STAMP,COMPANY_ID,S_CF_ACCT_TYP_CD,S_CF_ACTVTY_CD,ROWVERSION
INCSTM,24,0525-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0524-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0522-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0521-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0520-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0519-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0518-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0517-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0516-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0515-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0513-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0512-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0511-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0508-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0505-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0500-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0488-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0472-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0471-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0470-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0461-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0460-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0450-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0435-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0431-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0429-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0428-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0426-000,SGOSS,2016-02-13,1,,,0
