PROJ_ID,ORG_ID,ACCT_ID,FY_CD,DIR_AMT,DIR_ALLOW_AMT,DIR_HRS,DIR_ALLOW_HRS,FEE_ON_DIR_AMT,FEE_ON_HRS_AMT,MARKUP_FEE_AMT,TOT_REV_MARKUP_AMT,MODIFIED_BY,TIME_STAMP,TOT_REV_UNITS_AMT,TOT_REV_TM_LAB_AMT,BURD_AMT,AL_BURD_AMT,COM_AMT,COM_AL_AMT,FEE_BURD_AMT,OTH_FEE_AMT,TOT_REV_AMT,OVER_FEE_AMT,OVER_TOT_AMT,REALLOC_AMT,TOT_AL_EXP_AMT,REV_ADJ_AMT,ACCT_FUNC_NO,OVER_CST_AMT,UNITS_QTY,AL_UNITS_QTY,ROWVERSION,COMPANY_ID,DISC_AMT,AWARD_FEE_AMT,OVER_AWRD_AMT,RETRO_AWRD_AMT,TOT_AWD_FEE_AMT,AWARD_FEE_ADJ_AMT
000501.000.000,1.01.01,0500-100,2016,11580.43,0,189.75,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,3801.86,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000501.000.002,1.01,0517-125,2016,24,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.002,1.01,0519-100,2016,51790.43,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.002,1.01.01,0500-100,2016,164258.64,0,3831,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,53926.11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0512-100,2016,45686.33,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0513-100,2016,56107.15,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0516-100,2016,-265.59,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0517-100,2016,-826,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0517-105,2016,174,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
000501.000.003,1.01,0517-110,2016,873.04,0,0,0,0,0,0,0,JLAPINGTON,2017-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
