PROJ_ID,ORG_ID,POOL_NO,ALLOC_GRP_NO,ACCT_ID,FY_CD,MODIFIED_BY,TIME_STAMP,BURD_AMT,ALLOW_BURD_AMT,COM_AMT,COM_ALLOW_AMT,ROWVERSION,COMPANY_ID,DISC_AMT
020110.000.003.005,1.01.01,175,1,1000-000,2016,JLAPINGTON,2017-06-28,-72.32,-72.32,0,0,0,1,0
010802.002.001,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,16562.05,16562.05,0,0,0,1,0
020401.000.001,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,43423.66,43423.66,0,0,0,1,0
020101.001.004,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,454.64,0,0,0,0,1,0
020101.003.015,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,20.83,0,0,0,0,1,0
010106.001.011.012.005,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,502.09,502.09,0,0,0,1,0
010106.001.011.011.001,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,35.78,35.78,0,0,0,1,0
010108.000.003,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,0.54,0.54,0,0,0,1,0
010105.004.002.001.001,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,31.53,31.53,0,0,0,1,0
010107.00A.003.002.003,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,40.85,40.85,0,0,0,1,0
BP0000.010.001,1.01.01,110,1,2000-000,2016,JLAPINGTON,2017-06-28,1845.68,0,0,0,0,1,0
010105.003.002.002.005,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,251.48,251.48,0,0,0,1,0
010803.000.001.001.002,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,9233.18,0,0,0,0,1,0
020110.000.003.013,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,18080.84,18080.84,0,0,0,1,0
010102.002.004,1.01,175,1,1020-000,2016,JLAPINGTON,2017-06-28,86157.84,86157.84,0,0,0,1,0
BP0000.006.001,1.01.01,110,1,2000-000,2016,JLAPINGTON,2017-06-28,2774.7,0,0,0,0,1,0
010107.00A.003.005.004,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,1860.89,1860.89,0,0,0,1,0
010603.000.003,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,16378.51,16378.51,0,0,0,1,0
011201.000.001,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,47.16,47.16,0,0,0,1,0
020602.002.002.000,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,4079.39,0,0,0,0,1,0
010803.000.001.001.002,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,550.83,0,0,0,0,1,0
BP0000.011.001,1.01.01,120,1,2000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
020101.001.002,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,477.12,0,0,0,0,1,0
010802.002.007,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,599.47,599.47,0,0,0,1,0
020401.000.002,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,2929.39,2929.39,0,0,0,1,0
